usnews_cs_rank,school,location,city,state,tie,official_url,cs_department_url,cs_jobs_url,faculty_jobs_url,careers_url,source,source_url,source_file,notes
1,Carnegie Mellon University,"Pittsburgh, PA",Pittsburgh,PA,true,https://www.cmu.edu/,https://www.cs.cmu.edu/,https://www.cs.cmu.edu/about/employment,https://www.cmu.edu/faculty-office/faculty-recruitment/faculty-careers.html,https://www.cmu.edu/jobs/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
1,Massachusetts Institute of Technology,"Cambridge, MA",Cambridge,MA,true,https://www.mit.edu/,https://www.eecs.mit.edu/,https://www.eecs.mit.edu/role/lecturers/,,https://hr.mit.edu/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
1,Stanford University,"Stanford, CA",Stanford,CA,true,https://www.stanford.edu/,https://cs.stanford.edu/,https://openfacultypositions.stanford.edu/,https://openfacultypositions.stanford.edu/,https://careersearch.stanford.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
4,University of California--Berkeley,"Berkeley, CA",Berkeley,CA,false,https://www.berkeley.edu/,https://eecs.berkeley.edu/,https://eecs.berkeley.edu/connect/faculty-jobs/,https://aprecruit.berkeley.edu/,https://www.berkeley.edu/jobs/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
5,University of Illinois--Urbana-Champaign,"Urbana, IL",Urbana,IL,false,https://illinois.edu/,https://cs.illinois.edu/,https://cs.illinois.edu/about/positions,https://grad.illinois.edu/faculty-staff,https://grad.illinois.edu/funding/funding-employment/funding-types,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
6,Princeton University,NJ,,NJ,false,https://www.princeton.edu/,https://www.cs.princeton.edu/,,https://dof.princeton.edu/academicjobs,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
7,Cornell University,"Ithaca, NY",Ithaca,NY,true,https://www.cornell.edu/,https://www.cs.cornell.edu/,,https://hr.cornell.edu/your-career/retirement/endowed-cornell-tech-faculty-tenured-phased-retirement,https://hr.cornell.edu,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
7,Georgia Institute of Technology,GA,,GA,true,https://www.gatech.edu/,https://www.cc.gatech.edu/,https://hr.gatech.edu/employment/careers,,https://ohr.gatech.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
7,University of Washington,"Seattle, WA",Seattle,WA,true,https://www.washington.edu/,https://www.cs.washington.edu/,https://www.cs.washington.edu/who-we-are/employment-opportunites/,https://ap.washington.edu/ahr/academic-jobs/,https://www.washington.edu/jobs/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
10,University of Texas--Austin,"Austin, TX",Austin,TX,false,https://www.utexas.edu/,https://www.cs.utexas.edu/,https://www.cs.utexas.edu/graduate/careers,https://www.utexas.edu/faculty-and-staff-resources,https://www.utexas.edu/jobs,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
11,University of Michigan--Ann Arbor,"Ann Arbor, MI",Ann Arbor,MI,false,https://umich.edu/,https://eecs.engin.umich.edu/,,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
12,California Institute of Technology,"Pasadena, CA",Pasadena,CA,true,https://www.caltech.edu/,https://www.cms.caltech.edu/,,https://phf.tbe.taleo.net/phf03/ats/careers/v2/jobSearch?act=redirectCwsV2&cws=37&org=CALTECH,https://hr.caltech.edu/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
12,University of California--San Diego,"La Jolla, CA",La Jolla,CA,true,https://ucsd.edu/,https://cse.ucsd.edu/,https://today.ucsd.edu/story/uc-san-diego-professor-daniel-kane-awarded-goedel-prize-highest-theoretical-computer-science-honor,https://employment.ucsd.edu/academic,https://employment.ucsd.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
12,University of Maryland--College Park,"College Park, MD",College Park,MD,true,https://www.umd.edu/,https://www.cs.umd.edu/,https://www.cs.umd.edu/about/employment/all,https://umd.wd1.myworkdayjobs.com/UMCP,https://uhr.umd.edu/work_at_umd,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
15,Columbia University,NY,,NY,true,https://www.columbia.edu/,https://www.cs.columbia.edu/,https://www.cs.columbia.edu/open-positions/,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
15,Purdue University--West Lafayette,"West Lafayette, IN",West Lafayette,IN,true,https://www.purdue.edu/,https://www.cs.purdue.edu/,https://www.cs.purdue.edu/hiring/index.html,https://www.purdue.edu/purdue/academics/index.php,https://www.purdue.edu/hr/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
15,University of California--Los Angeles,CA,,CA,true,https://www.ucla.edu/,https://www.cs.ucla.edu/,,https://www.senate.ucla.edu,https://www.ucla.edu/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
15,University of Wisconsin--Madison,"Madison, WI",Madison,WI,true,https://www.wisc.edu/,https://www.cs.wisc.edu/,https://jobs.wisc.edu/jobs/search?category=Faculty,https://jobs.wisc.edu/jobs/search?category=Faculty,https://jobs.wisc.edu/,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
19,Harvard University,MA,,MA,true,https://www.harvard.edu/,https://seas.harvard.edu/computer-science,https://seas.harvard.edu/about-us/employment-jobs,,https://hr.harvard.edu/careers,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
19,University of Pennsylvania,"Philadelphia, PA",Philadelphia,PA,true,https://www.upenn.edu/,https://www.cis.upenn.edu/,https://www.cis.upenn.edu/open-faculty-positions/,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
21,Johns Hopkins University,"Baltimore, MD",Baltimore,MD,true,https://www.jhu.edu/,https://www.cs.jhu.edu/,https://www.cs.jhu.edu/about/employment-opportunities/,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
21,University of Chicago,IL,,IL,true,https://www.uchicago.edu/,https://cs.uchicago.edu/,https://cs.uchicago.edu/about/job-openings/,,,U.S. News 2026 Best Computer Science Schools,https://www.usnews.com/best-graduate-schools/top-computer-science-schools/computer-science-rankings,usnews_index_copy.txt,
